H S Q
10.66	-0.18	6231.37	
10.67	-0.18	6239.19	
10.68	-0.18	6247.01	
10.69	-0.18	6254.83	
10.70	-0.18	6262.65	
10.71	-0.18	6270.47	
10.72	-0.18	6278.29	
10.73	-0.18	6286.11	
10.74	-0.18	6293.93	
10.75	-0.18	6301.75	
10.76	-0.18	6309.57	
10.77	-0.18	6317.39	
10.78	-0.18	6325.21	
10.79	-0.18	6333.03	
10.80	-0.18	6340.84	
10.81	-0.18	6348.66	
10.82	-0.18	6356.48	
10.83	-0.18	6364.30	
10.84	-0.18	6372.11	
10.85	-0.18	6379.93	
10.86	-0.18	6387.75	
10.87	-0.18	6395.56	
10.88	-0.18	6403.38	
10.89	-0.18	6411.20	
10.90	-0.18	6419.01	
10.91	-0.18	6426.83	
10.92	-0.18	6434.64	
10.93	-0.18	6442.46	
10.94	-0.18	6450.27	
10.95	-0.18	6458.09	
10.96	-0.18	6465.90	
10.97	-0.18	6473.72	
10.98	-0.18	6481.53	
10.99	-0.18	6489.34	
11.00	-0.18	6497.16	
11.01	-0.18	6504.97	
11.02	-0.18	6512.78	
11.03	-0.18	6520.60	
11.04	-0.18	6528.41	
11.05	-0.18	6536.22	
11.06	-0.18	6544.03	
11.07	-0.18	6551.84	
11.08	-0.18	6559.65	
11.09	-0.18	6567.47	
11.10	-0.18	6575.28	
11.11	-0.18	6583.09	
11.12	-0.18	6590.90	
11.13	-0.18	6598.71	
11.14	-0.18	6606.52	
11.15	-0.18	6614.33	
11.16	-0.18	6622.14	
11.17	-0.18	6629.95	
11.18	-0.18	6637.76	
11.19	-0.18	6645.56	
11.20	-0.18	6653.37	
11.21	-0.18	6661.18	
11.22	-0.18	6668.99	
11.23	-0.18	6676.80	
11.24	-0.18	6684.61	
11.25	-0.18	6692.41	
11.26	-0.18	6700.22	
11.27	-0.18	6708.03	
11.28	-0.18	6715.83	
11.29	-0.18	6723.64	
11.30	-0.18	6731.45	
11.31	-0.18	6739.25	
11.32	-0.18	6747.06	
11.33	-0.18	6754.86	
11.34	-0.18	6762.67	
11.35	-0.18	6770.47	
11.36	-0.18	6778.28	
11.37	-0.18	6786.08	
11.38	-0.18	6793.89	
11.39	-0.18	6801.69	
11.40	-0.18	6809.50	
11.41	-0.18	6817.30	
11.42	-0.18	6825.10	
11.43	-0.18	6832.91	
